reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appId
gp:AOqpTOGAjPC2hI2cTZIgd4iX5WBs9kP3ajh5X2yZRz5caSu7eLG6G2SJ4wYWecroPurxQP8Reryxk5Yoi9dGGg,nino zecevic,Poop,1,0,17.6.41,10/1/2020 22:54,,,com.zhiliaoapp.musically
gp:AOqpTOGAisCzZUMRhnD26XaDbjw_P1OeStmr6SwSYkxabq1hgnQ4R2IrT2szW5ySa89lbyQGDQghDIAXAjYD_w,Alek Mandel,Absolute trash,1,0,,10/1/2020 22:50,,,com.zhiliaoapp.musically
gp:AOqpTOE_DlTyj3L08wC1z51l_v3Kh3GyZd0ty-p9VzLHV3zoCfyzQtsl1kHo-Zpw39nh_P4pOZR6m7ZwUv35Bw,Zain Abbasi,Best app tiktok I you user Zain abbasi,1,0,,10/1/2020 22:45,,,com.zhiliaoapp.musically
gp:AOqpTOFBiImxvu6yZvxPyHWKL6mcrA5zSRF8_9nAgeYnHjNYr7CgJYIQcrZjPJmnDUQ0pxef_bTTegu9lWJ2xg,Genesis GonzÃ¡lez,It so inappropriate,1,0,,10/1/2020 22:33,,,com.zhiliaoapp.musically
gp:AOqpTOFrHIc5C9PsSnZ1U9ITtFgGfjXRgutHpZP8_ETcy5eTbIJbOd6vvcHp1gJyhOR98F9eCvv_t4u2a5BF1Q,Just me-Melina Lytra,It's the worst app ever.,1,0,17.3.4,10/1/2020 22:27,,,com.zhiliaoapp.musically
gp:AOqpTOHUXE_nafVBRM24UEaLxWZxGNRLZAb3sLlNHRJ6YyOpie4AGGLG3pq8vjRBkMDglmVGKs3I5202NefWAA,Heaven sapphire Jenkins,"worst app ever, i dont know there are so many downloads, it sucks, the camera is bad, it glitches, musicly was WAAAAY better. dont downlad.",1,0,,10/1/2020 22:21,,,com.zhiliaoapp.musically
gp:AOqpTOFxDlplQpxCd8HWwbRuY6xNTWP8YbAsrNdWG1DOhqaYuDFHA7kuNIden-0ctsONKC1YPP73Xvk8kS4bIA,Galixy gacha 22,ð™ƒð™–ð™©ð™š ð™žð™©!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!-!!!!!!!!!!!!!!!!!!!!!!,1,0,17.6.41,10/1/2020 22:12,,,com.zhiliaoapp.musically
gp:AOqpTOFwdnoFzHUvFeoq5QotW9eKapYfAYgAbmqich5NVE7IARf4px8Txncb_Pv5-Va1bGvX86f4ZNEoaUqlng,Xerniak,Pp funny haha,1,0,,10/1/2020 22:06,,,com.zhiliaoapp.musically
gp:AOqpTOH9LfNqA_v-wRdfqBcDKAiGbziowKSdr2OAmkOnX9gpXafNBrYHAHIunoF0McSGnuRRQ7NvFajM3T2Dyw,Angela Gegea,F### itðŸ˜¤,1,0,,10/1/2020 21:58,,,com.zhiliaoapp.musically
gp:AOqpTOGnmmCB_Z_YRkRAImLK7EUkXs8Fh39map4wj7C-kf_aCNHpm5ir5q8fag61xo56UpLvUYJmWBaXAigcQg,sky,Tik toks great but there's so much swearing the song people do wrong things on there ðŸ˜¶ðŸ˜‘ðŸ¤¨ðŸ˜’,1,0,,10/1/2020 21:49,,,com.zhiliaoapp.musically
