content,appId
Acting,com.zhiliaoapp.musically
Funny ðŸ¤£ðŸ¤£,com.zhiliaoapp.musically
I hate tikTok go go go go tiktok go go go go tiktok I don't know how to get a this chance and fansðŸ˜ and I'm from morroco end this application in morroco plz,com.zhiliaoapp.musically
I hate tik tok,com.zhiliaoapp.musically
"@bappyster:ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ My account name (md_riyaj1) I upload daily HD and good videos, but the video views on my account are not increasing a",com.zhiliaoapp.musically
It doesnt let me search follow or do anything it just makes me do mothing when i log in,com.zhiliaoapp.musically
Super â¤ï¸â¤ï¸ðŸ˜,com.zhiliaoapp.musically
Content is worst,com.zhiliaoapp.musically
The app started good but now i can't duet or react. Ive uninstalled and reinstalled the app and checked app settings. Everything says its good but cant bring any sounds on.,com.zhiliaoapp.musically
World's most worest App Ever THIS IS Worst app ever,com.zhiliaoapp.musically
I really don't like this app. It wastes the time of collegues. It makes them behave like a girl.,com.zhiliaoapp.musically
It sucks,com.zhiliaoapp.musically
its not showing my vdos to othersðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡,com.zhiliaoapp.musically
"Not having duet layouts or the ability to use my mic during duets..... This needs to be fixed, now.",com.zhiliaoapp.musically
Bad app,com.zhiliaoapp.musically
Waste of your time and too much inappropriate behavior,com.zhiliaoapp.musically
Worst app ever it deserv 0.5star,com.zhiliaoapp.musically
I give you one because when I upload video no view comes and my own view also not show,com.zhiliaoapp.musically
Thanks for getting,com.zhiliaoapp.musically
Hallo hay friends how are you,com.zhiliaoapp.musically
I want to socialize my account.,com.zhiliaoapp.musically
I hate this app,com.zhiliaoapp.musically
â¤,com.zhiliaoapp.musically
Bad,com.zhiliaoapp.musically
Hum . Yyy,com.zhiliaoapp.musically
"Y'all deleted my review...again...why do you like this so much,they make fun of autistic people",com.zhiliaoapp.musically
Tiktok is very important app for fun,com.zhiliaoapp.musically
This app is gay.,com.zhiliaoapp.musically
Kenkenn,com.zhiliaoapp.musically
I dont like,com.zhiliaoapp.musically
Very very bad app I lag so much ðŸ˜¬ðŸ˜¬ðŸ˜¬ðŸ˜¬ðŸ˜¬ðŸ‘¹,com.zhiliaoapp.musically
Cancer,com.zhiliaoapp.musically
Block,com.zhiliaoapp.musically
Good,com.zhiliaoapp.musically
It shows suicide on it,com.zhiliaoapp.musically
"App de m**rda llena de gente pndja ðŸ¤¢, solo la vine a descargar para votar por BTS.",com.zhiliaoapp.musically
Nice,com.zhiliaoapp.musically
Is the horrible application for me ðŸ˜’,com.zhiliaoapp.musically
I My My,com.zhiliaoapp.musically
makes my friend cry ðŸ˜žðŸ’”,com.zhiliaoapp.musically
